132,2,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,61,75,47,49,43,73,87,nan,45,79,53,82,76,81,89,41,41,80,49,65.36842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,41,45,75,83,92,59,51,45,nan,43,41,43,49,41,48,86,60,43,71,55.94736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,66,68,48,47,41,64,77,79,43,nan,53,92,71,91,81,41,44,97,50,65.21052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,51,60,50,47,39,57,54,53,41,53,nan,54,52,55,53,36,32,54,53,49.94736842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,65,66,45,45,41,63,74,82,43,92,54,nan,74,91,82,40,41,91,49,64.47368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,46,68,50,52,48,76,79,76,49,71,52,74,nan,67,83,47,38,71,51,61.78947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,70,65,45,46,40,61,74,81,41,91,55,91,67,nan,77,39,43,92,48,63.63157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,55,75,50,52,46,75,89,89,48,81,53,82,83,77,nan,44,43,82,52,66.52631579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,40,40,67,75,92,54,46,41,86,41,36,40,47,39,44,nan,65,40,62,52.52631579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,55,36,56,58,63,42,44,41,60,44,32,41,38,43,43,65,nan,44,51,47.36842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,65,68,47,47,42,64,77,80,43,97,54,91,71,92,82,40,44,nan,49,65.21052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,56,49,79,65,68,59,54,49,71,50,53,49,51,48,52,62,51,49,nan,56.15789474,59.83102493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,7,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nan,66,62,47,60,81,38,79,82,75,84,78,76,88,88,80,83,96,79,88,75.26315789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,nan,93,74,90,83,56,84,66,89,78,75,87,73,75,83,80,70,85,76,78.05263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,93,nan,79,97,77,62,79,62,84,72,69,82,69,70,79,74,66,79,70,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,74,79,nan,81,61,76,62,50,66,57,54,64,53,55,62,58,51,62,55,61.42105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,90,97,81,nan,74,64,77,60,82,70,67,80,67,68,77,72,64,77,68,73.42105263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,83,77,61,74,nan,46,96,79,91,95,92,93,89,91,95,96,85,97,92,84.89473684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,56,62,76,64,46,nan,48,40,51,43,37,50,41,41,49,44,41,47,42,48.21052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,84,79,62,77,96,48,nan,76,94,92,89,96,88,88,98,93,83,99,89,84.73684211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,66,62,50,60,79,40,76,nan,72,78,75,74,79,81,77,80,81,77,81,72.10526316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,89,84,66,82,91,51,94,72,nan,87,84,98,83,84,93,88,79,94,84,83.05263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,78,72,57,70,95,43,92,78,87,nan,89,88,93,95,90,97,88,92,96,83.36842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,75,69,54,67,92,37,89,75,84,89,nan,86,86,86,88,91,79,90,86,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,87,82,64,80,93,50,96,74,98,88,86,nan,84,85,95,90,80,95,86,83.63157895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,73,69,53,67,89,41,88,79,83,93,86,84,nan,96,86,91,92,87,97,81.15789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,75,70,55,68,91,41,88,81,84,95,86,85,96,nan,87,93,91,89,99,82.21052632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,83,79,62,77,95,49,98,77,93,90,88,95,86,87,nan,92,84,97,87,84.15789474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,80,74,58,72,96,44,93,80,88,97,91,90,91,93,92,nan,87,94,94,84.05263158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,70,66,51,64,85,41,83,81,79,88,79,80,92,91,84,87,nan,82,92,78.47368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,85,79,62,77,97,47,99,77,94,92,90,95,87,89,97,94,82,nan,89,84.78947368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
